Tuhan,주님/하나님,Tuhan adalah gembala kita.,주님은 우리의 목자이시다.
Perjanjian Baru,신약,Perjanjian Baru berpusat pada kehidupan dan karya Yesus.,신약은 예수님의 삶과 사역을 중심으로 한다.
kitab,책/권,Alkitab terdiri dari 66 kitab.,성경은 66권으로 이루어져 있다.
ayat,절/구절,Hafalkan ayat ini sampai di luar kepala.,이 구절을 완전히 암기하라.
pasal,장(章),Bacalah pasal pertama Injil Yohanes hari ini.,오늘 요한복음 1장을 읽어라.
penebus,구속자,Yesus adalah satu-satunya penebus manusia berdosa.,예수님은 죄인 인간의 유일한 구속자이시다.
orang berdosa,죄인,Yesus datang untuk menyelamatkan orang berdosa.,예수님은 죄인을 구원하러 오셨다.
hadirat,임재,Hadirat Tuhan terasa nyata dalam ibadah ini.,이 예배 가운데 주님의 임재가 실제로 느껴진다.
firman yang hidup,살아 있는 말씀,Alkitab adalah firman yang hidup dan aktif.,성경은 살아 있고 활동하는 말씀이다.
roti hidup,생명의 떡,Yesus menyebut diri-Nya sebagai roti hidup.,예수님은 자신을 생명의 떡이라고 말씀하셨다.
air hidup,생명수,Yesus menawarkan air hidup kepada wanita Samaria.,예수님은 사마리아 여인에게 생명수를 제안하셨다.
pokok anggur,포도나무,Yesus berkata Akulah pokok anggur dan kamu adalah ranting-Nya.,예수님은 나는 포도나무요 너희는 가지라고 말씀하셨다.
takut akan Tuhan,하나님을 경외함,Takut akan Tuhan adalah permulaan hikmat.,하나님을 경외함은 지혜의 시작이다.
kemuliaan,영광,Segala kemuliaan hanya bagi Tuhan semata.,모든 영광은 오직 주님께만 있다.
kuasa,권능/권세,Yesus memiliki kuasa atas segala sesuatu.,예수님은 모든 것 위에 권세를 가지고 계신다.
kasih karunia,은혜/총애,Kasih karunia Allah cukup untuk segala kelemahan kita.,하나님의 은혜는 우리의 모든 연약함에 충분하다.
keadilan,공의,Allah adalah Allah yang penuh keadilan.,하나님은 공의가 충만하신 하나님이시다.
kemurahan,자비로우심/너그러우심,Kemurahan Tuhan tidak pernah habis.,주님의 자비로우심은 결코 다하지 않는다.
pengharapan kekal,영원한 소망,Pengharapan kekal kita ada di dalam Kristus.,우리의 영원한 소망은 그리스도 안에 있다.
nama Tuhan,주님의 이름,Nama Tuhan adalah menara yang kuat bagi orang benar.,주님의 이름은 의인을 위한 견고한 망대이다.
air bah,홍수,Allah mendatangkan air bah untuk menghukum kejahatan manusia.,하나님은 인간의 악을 심판하시기 위해 홍수를 일으키셨다.
keluaran,출애굽,Peristiwa keluaran menunjukkan kuasa Allah yang besar.,출애굽 사건은 하나님의 위대한 능력을 보여 준다.
sepuluh perintah,십계명,Sepuluh perintah Allah menjadi dasar hukum moral.,하나님의 십계명은 도덕법의 기초가 된다.
kotbah di bukit,산상수훈,Kotbah di bukit berisi inti ajaran etika Kerajaan Allah.,산상수훈은 하나님 나라 윤리 가르침의 핵심을 담고 있다.
perumpamaan,비유,Yesus sering mengajar menggunakan perumpamaan.,예수님은 자주 비유를 사용하여 가르치셨다.
mukjizat,이적/기적,Mukjizat Yesus membuktikan bahwa Dia adalah Anak Allah.,예수님의 이적은 그분이 하나님의 아들임을 증명한다.
kenaikan,승천,Kenaikan Yesus ke surga terjadi empat puluh hari setelah kebangkitan-Nya.,예수님의 승천은 부활 후 사십일째 날에 일어났다.
pentakosta,오순절,Pada hari Pentakosta Roh Kudus dicurahkan atas semua murid.,오순절에 성령님이 모든 제자들 위에 부어졌다.
lembah kekelaman,사망의 음침한 골짜기,Meski berjalan di lembah kekelaman aku tidak takut.,내가 사망의 음침한 골짜기를 다닐지라도 두렵지 않다.
Bapa,아버지(하나님),Yesus mengajarkan kita untuk memanggil Allah sebagai Bapa.,예수님은 우리에게 하나님을 아버지라 부르도록 가르치셨다.
Anak Allah,하나님의 아들,Yesus adalah Anak Allah yang tunggal dan kekal.,예수님은 하나님의 독생자이시며 영원하신 분이다.
penguasa,통치자/주권자,Allah adalah penguasa atas seluruh alam semesta.,하나님은 온 우주의 통치자이시다.
kesetiaan Allah,하나님의 신실하심,Kesetiaan Allah tidak berubah dari generasi ke generasi.,하나님의 신실하심은 세대에서 세대로 변하지 않는다.
Roh kebenaran,진리의 영,Roh kebenaran memimpin kita pada seluruh kebenaran.,진리의 영은 우리를 모든 진리로 인도하신다.
firman yang tertulis,기록된 말씀,Firman yang tertulis adalah wahyu Allah yang berwibawa.,기록된 말씀은 권위 있는 하나님의 계시이다.
umat Allah,하나님의 백성,Kita adalah umat Allah yang telah dipanggil keluar dari kegelapan.,우리는 어둠에서 불러냄을 받은 하나님의 백성이다.
juru selamat,구원자/구세주,Yesus adalah satu-satunya juru selamat umat manusia.,예수님은 인류의 유일한 구세주이시다.
tubuh Kristus,그리스도의 몸,Gereja disebut sebagai tubuh Kristus di dunia ini.,교회는 이 세상에서 그리스도의 몸이라 불린다.
hidup kekal,영생,Barangsiapa percaya kepada-Nya tidak binasa melainkan beroleh hidup kekal.,그를 믿는 자마다 멸망하지 않고 영생을 얻는다.
damai sejahtera,평강/화평,Damai sejahtera Allah melampaui segala akal.,하나님의 평강은 모든 지각에 뛰어납니다.
kasih setia,인자하심/변함없는 사랑,Kasih setia Tuhan tidak pernah berkesudahan.,주님의 인자하심은 결코 끝이 없습니다.
hikmat,지혜 (하나님이 주시는),Mintalah hikmat kepada Tuhan dalam setiap keputusan.,모든 결정에서 주님께 지혜를 구하십시오.
kehendak Tuhan,주님의 뜻,Kami ingin hidup sesuai kehendak Tuhan.,우리는 주님의 뜻대로 살기를 원합니다.
janji Tuhan,주님의 약속,Janji Tuhan pasti digenapi pada waktunya.,주님의 약속은 때가 되면 반드시 이루어집니다.
Anak Domba,어린양 (그리스도),Yesus adalah Anak Domba yang menghapus dosa dunia.,예수님은 세상 죄를 지고 가는 어린양이십니다.
Imam Besar,대제사장,Yesus menjadi Imam Besar yang mengerti kelemahan kita.,예수님은 우리의 연약함을 아시는 대제사장이 되십니다.
Gembala yang Baik,선한 목자,Gembala yang Baik memberikan nyawa-Nya bagi domba.,선한 목자는 양을 위하여 목숨을 버리십니다.
terang dunia,세상의 빛,Kamu adalah terang dunia di tempat kerjamu.,여러분은 일터에서 세상의 빛입니다.
garam dunia,세상의 소금,Tuhan memanggil kita menjadi garam dunia.,주님은 우리를 세상의 소금으로 부르십니다.
anak-anak Allah,하나님의 자녀,Kita disebut anak-anak Allah karena kasih-Nya.,우리는 그분의 사랑으로 하나님의 자녀라 불립니다.
kutuk,저주,Kristus menebus kita dari kutuk hukum Taurat.,그리스도께서 우리를 율법의 저주에서 속량하셨습니다.
