Tuhan,주님/하나님,Tuhan adalah gembala kita.,주님은 우리의 목자이시다.
melayani,섬기다,Yesus datang bukan untuk dilayani tetapi untuk melayani.,예수님은 섬김을 받으러 오신 것이 아니라 섬기러 오셨다.
mengampuni,용서하다,Kita harus mengampuni orang yang bersalah kepada kita.,우리는 우리에게 잘못한 사람을 용서해야 한다.
bersekutu,교제하다,Penting bagi kita untuk bersekutu bersama sesama percaya.,믿는 자들과 함께 교제하는 것은 우리에게 중요하다.
membaca Alkitab,성경을 읽다,Membaca Alkitab setiap hari memperkuat iman kita.,매일 성경을 읽는 것은 우리의 믿음을 강하게 한다.
bersaksi,증언하다/전도하다,Kita dipanggil untuk bersaksi tentang Yesus.,우리는 예수님에 대해 증언하도록 부름받았다.
pendeta,목사,Pendeta memberikan khotbah setiap hari Minggu.,목사님은 매주 일요일 설교를 하신다.
khotbah,설교,Khotbah hari ini sangat menguatkan iman saya.,오늘 설교는 내 믿음을 매우 강하게 해 주었다.
jemaat,교인/회중,Jemaat berkumpul untuk beribadah bersama.,교인들은 함께 예배하기 위해 모인다.
persembahan,헌금/제물,Persembahan adalah ungkapan syukur kepada Tuhan.,헌금은 주님께 드리는 감사의 표현이다.
pujian,찬송/찬양,Pujian adalah persembahan yang menyenangkan hati Tuhan.,찬양은 주님의 마음을 기쁘게 하는 제물이다.
kesaksian,간증,Kesaksian hidupnya menginspirasi banyak orang.,그의 삶의 간증은 많은 사람들에게 감동을 주었다.
persekutuan,교제/친교,Persekutuan antar sesama percaya sangat penting.,믿는 자들 사이의 교제는 매우 중요하다.
pelayanan,사역/봉사,Pelayanan kepada sesama adalah bentuk kasih kepada Tuhan.,이웃을 향한 봉사는 하나님을 향한 사랑의 표현이다.
kebaktian,예배 모임,Kebaktian pemuda diadakan setiap Sabtu malam.,청년 예배 모임은 매주 토요일 저녁에 열린다.
sel,셀/소그룹,Sel adalah kelompok kecil untuk bertumbuh bersama.,셀은 함께 성장하기 위한 소그룹이다.
Yerusalem,예루살렘,Yerusalem adalah kota suci dalam Alkitab.,예루살렘은 성경 속 거룩한 도시이다.
Betlehem,베들레헴,Yesus lahir di Betlehem sesuai nubuatan.,예수님은 예언에 따라 베들레헴에서 태어나셨다.
Galilea,갈릴리,Yesus banyak melayani di wilayah Galilea.,예수님은 갈릴리 지역에서 많은 사역을 하셨다.
bait suci,성전,Bait suci adalah tempat hadirat Allah berdiam.,성전은 하나님의 임재가 거하시는 곳이다.
Paskah,부활절/유월절,Paskah merayakan kebangkitan Yesus dari kematian.,부활절은 죽음에서 부활하신 예수님을 기념한다.
Natal,성탄절,Natal adalah perayaan kelahiran Yesus Kristus.,성탄절은 예수 그리스도의 탄생을 기념하는 축제이다.
pengharapan,소망/희망,Pengharapan kita ada di dalam Tuhan.,우리의 소망은 주님 안에 있다.
damai,평화/평강,Damai sejahtera Kristus menguasai hati kita.,그리스도의 평강이 우리 마음을 다스린다.
sukacita,기쁨,Sukacita sejati hanya ditemukan di dalam Tuhan.,참된 기쁨은 오직 주님 안에서만 발견된다.
kebenaran,진리/의,Yesus berkata Akulah jalan kebenaran dan hidup.,예수님은 나는 길이요 진리요 생명이라고 말씀하셨다.
kesucian,거룩함,Kita dipanggil untuk hidup dalam kesucian.,우리는 거룩함 가운데 살도록 부름받았다.
kesetiaan,신실함/충성,Kesetiaan Allah tidak pernah goyah.,하나님의 신실하심은 결코 흔들리지 않는다.
ketaatan,순종,Ketaatan lebih berharga daripada korban sembelihan.,순종은 제사보다 더 귀하다.
kerendahan hati,겸손,Yesus adalah teladan sempurna dalam kerendahan hati.,예수님은 겸손의 완전한 본보기이시다.
belas kasihan,긍휼/자비,Tuhan penuh dengan belas kasihan bagi yang menderita.,주님은 고통받는 자들을 향한 긍휼이 가득하시다.
kekudusan,성결/거룩,Kekudusan adalah karakter utama Allah.,거룩함은 하나님의 주된 성품이다.
wahyu,계시,Allah menyatakan diri-Nya melalui wahyu.,하나님은 계시를 통해 자신을 나타내신다.
daging,육체/육신,Firman itu menjadi daging dan tinggal di antara kita.,말씀이 육신이 되어 우리 가운데 거하셨다.
jiwa,영혼,Jiwa yang lelah akan mendapat ketenangan di dalam Tuhan.,지친 영혼은 주님 안에서 안식을 얻을 것이다.
rohani,영적인,Pertumbuhan rohani memerlukan doa dan firman.,영적 성장은 기도와 말씀을 필요로 한다.
kudus,거룩한,Tuhan itu kudus dan ajaib adanya.,주님은 거룩하시고 놀라우신 분이시다.
kerajaan Allah,하나님의 나라,Kerajaan Allah sudah dekat.,하나님의 나라가 가까이 왔다.
roh,영/영혼,Roh manusia diciptakan untuk menyembah Tuhan.,인간의 영은 하나님을 예배하도록 창조되었다.
terang,빛,Yesus adalah terang dunia.,예수님은 세상의 빛이시다.
kegelapan,어둠,Terang Kristus mengalahkan kegelapan.,그리스도의 빛이 어둠을 이긴다.
domba,양,Kita adalah domba-domba gembalaannya.,우리는 그분이 기르시는 양들이다.
buah Roh,성령의 열매,Buah Roh adalah kasih sukacita dan damai sejahtera.,성령의 열매는 사랑과 기쁨과 화평이다.
karunia,은사/선물,Setiap orang percaya menerima karunia dari Roh Kudus.,모든 믿는 자는 성령으로부터 은사를 받는다.
misi,선교/사명,Misi gereja adalah memberitakan injil ke seluruh dunia.,교회의 사명은 온 세상에 복음을 전하는 것이다.
penginjilan,복음 전도,Penginjilan adalah tanggung jawab setiap orang percaya.,복음 전도는 모든 믿는 자의 책임이다.
doxologi,송영,Doxologi dinyanyikan sebagai penutup ibadah.,송영은 예배의 마무리로 불린다.
tobat,회개/뉘우침,Tobat yang sungguh menghasilkan perubahan hidup.,진정한 회개는 삶의 변화를 가져온다.
beriman,믿음을 갖다,Kita harus beriman kepada Yesus Kristus.,우리는 예수 그리스도를 믿어야 한다.
penerang,조명자/빛을 주는 분,Roh Kudus adalah penerang hati dan pikiran kita.,성령님은 우리의 마음과 생각을 조명하시는 분이다.
Mesias,메시아,Yesus adalah Mesias yang dijanjikan Allah.,예수님은 하나님이 약속하신 메시아이시다.
